arrival_airport_icao,arrival_airport_name,origin_ident,origin_name,origin_country,is_international,flights
WMKP,Penang International Airport,VTBD,Don Mueang International Airport,TH,true,3
WMKP,Penang International Airport,RCTP,Taiwan Taoyuan International Airport,TW,true,3
WBKK,Kota Kinabalu International Airport,WMKP,Penang International Airport,MY,false,3
WMKK,Kuala Lumpur International Airport,WIDD,Hang Nadim International Airport,ID,true,3
WMKK,Kuala Lumpur International Airport,LTFJ,Istanbul Sabiha Gökçen International Airport,TR,true,3
WBKK,Kota Kinabalu International Airport,WBKB,Kota Belud Airport,MY,false,3
WBKK,Kota Kinabalu International Airport,WIII,Soekarno-Hatta International Airport,ID,true,3
WMKK,Kuala Lumpur International Airport,LHBP,Budapest Liszt Ferenc International Airport,HU,true,2
WMKK,Kuala Lumpur International Airport,LIMC,Milan Malpensa International Airport,IT,true,2
WBKK,Kota Kinabalu International Airport,WSAC,Changi Air Base (East),SG,true,2
WBKK,Kota Kinabalu International Airport,RKPK,Gimhae International Airport,KR,true,2
WMKJ,Senai International Airport,ZGGG,Guangzhou Baiyun International Airport,CN,true,2
WBKK,Kota Kinabalu International Airport,ZGGG,Guangzhou Baiyun International Airport,CN,true,2
WMKK,Kuala Lumpur International Airport,ELLX,Luxembourg-Findel International Airport,LU,true,2
WMKP,Penang International Airport,WSSL,Seletar Airport,SG,true,2
WMKP,Penang International Airport,WMKP,Penang International Airport,MY,false,1
WMKK,Kuala Lumpur International Airport,EDDM,Munich Airport,DE,true,1
WMKK,Kuala Lumpur International Airport,WMSA,Sultan Abdul Aziz Shah International Airport,MY,false,1
WMKJ,Senai International Airport,WMKM,Malacca International Airport,MY,false,1
WBKK,Kota Kinabalu International Airport,YAMB,RAAF Base Amberley,AU,true,1
WMKK,Kuala Lumpur International Airport,KIAD,Washington Dulles International Airport,US,true,1
WMKK,Kuala Lumpur International Airport,KJFK,John F. Kennedy International Airport,US,true,1
WMKP,Penang International Airport,ZGGG,Guangzhou Baiyun International Airport,CN,true,1
WMKK,Kuala Lumpur International Airport,EGKK,London Gatwick Airport,GB,true,1
WMKK,Kuala Lumpur International Airport,ZSFZ,Fuzhou Changle International Airport,CN,true,1
WMKK,Kuala Lumpur International Airport,VVGL,Gia Lam Air Base,VN,true,1
WMKP,Penang International Airport,RKSI,Incheon International Airport,KR,true,1
WMKK,Kuala Lumpur International Airport,RJFF,Fukuoka Airport,JP,true,1
WMKJ,Senai International Airport,VABB,Chhatrapati Shivaji Maharaj International Airport,IN,true,1
WMKK,Kuala Lumpur International Airport,LEMD,Adolfo Suárez Madrid–Barajas Airport,ES,true,1
WMKJ,Senai International Airport,WSSL,Seletar Airport,SG,true,1
WMKP,Penang International Airport,RPLC,Clark International Airport / Clark Air Base,PH,true,1
WMKJ,Senai International Airport,WMKB,RMAF Butterworth Air Base,MY,false,1
